outcome,spec_order,spec,spec_label,sample,term,term_label,coef,se,pvalue_cluster_t,nobs,clusters,formula
atr_top1,0,a_baseline,(a) Baseline,full,cu_x_corp_only,CU x CorpOnly,0.19868114305808454,0.3174059069975184,0.5344395873017395,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
atr_top1,0,a_baseline,(a) Baseline,full,cu_x_corp_union,CU x CorpUnion,-0.6726970893786492,0.2857553134010692,0.022893726463027723,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
atr_top1,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,cu_x_corp_only,CU x CorpOnly,0.16893716392501507,0.30938073379254927,0.5876706575007472,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year)
atr_top1,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,cu_x_corp_union,CU x CorpUnion,-0.5645371652584247,0.3028906295965858,0.06873526122464722,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year)
atr_top1,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,cu_x_rep_trifecta_acq,CU x R-trifecta acquirer,-0.281215802712591,0.24609798629442736,0.259076554710241,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year)
atr_top1,2,c_contemporaneous,(c) + R trifecta (t),full,cu_x_corp_only,CU x CorpOnly,0.21024590505016694,0.31286823579983497,0.5049481577829658,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year)
atr_top1,2,c_contemporaneous,(c) + R trifecta (t),full,cu_x_corp_union,CU x CorpUnion,-0.6401269433600936,0.29212357228117175,0.033533235350808106,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year)
atr_top1,2,c_contemporaneous,(c) + R trifecta (t),full,rep_trifecta,R trifecta (t),-0.147273703736032,0.12476295645743356,0.24389808219829473,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year)
atr_top1,3,c_lagged,(c-lag) + R trifecta (t-1),full,cu_x_corp_only,CU x CorpOnly,0.21394595181356432,0.3052456959509834,0.48689749690667333,799,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year)
atr_top1,3,c_lagged,(c-lag) + R trifecta (t-1),full,cu_x_corp_union,CU x CorpUnion,-0.6023402133045157,0.27914764208503856,0.036200809574616806,799,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year)
atr_top1,3,c_lagged,(c-lag) + R trifecta (t-1),full,rep_trifecta_lag,R trifecta (t-1),-0.2054354909694986,0.12426565840434377,0.105100824154082,799,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year)
atr_top1,4,d_redmap,(d) + CU x REDMAP,full,cu_x_corp_only,CU x CorpOnly,0.19868114305807652,0.3176095681715037,0.5347005798299274,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_redmap + C(state) + C(year)
atr_top1,4,d_redmap,(d) + CU x REDMAP,full,cu_x_corp_union,CU x CorpUnion,-0.7364077298696616,0.3362791721956738,0.03364251924515181,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_redmap + C(state) + C(year)
atr_top1,4,d_redmap,(d) + CU x REDMAP,full,cu_x_redmap,CU x REDMAP,0.1380397210638563,0.5088892803604239,0.787407077707626,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_redmap + C(state) + C(year)
atr_top1,5,e_acquirer_redmap,(e) + acquirer and REDMAP,full,cu_x_corp_only,CU x CorpOnly,0.16460320470660167,0.30865293590414683,0.5963965181561822,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year)
