outcome,seed,draws,states,fake_corp_union_states,fake_corp_only_states,acquirer_states,trifecta_only_partial_within_r2,trifecta_only_adjusted_within_r2,actual_ban_partial_within_r2,actual_ban_adjusted_within_r2,random_ban_r2_mean,random_ban_r2_p05,random_ban_r2_p50,random_ban_r2_p95,random_ban_adjusted_r2_p05,random_ban_adjusted_r2_p50,random_ban_adjusted_r2_p95,share_random_ban_r2_le_trifecta_r2,share_random_ban_adjusted_r2_le_trifecta_adjusted_r2,share_random_ban_r2_ge_actual_ban_r2,observed_union_coef_baseline,observed_union_coef_plus_acquirer,observed_abs_union_shrinkage,random_abs_shrinkage_p05,random_abs_shrinkage_p50,random_abs_shrinkage_p95,share_random_abs_shrinkage_ge_observed
atr_top1,20260823,10000,47,13,8,15,0.047419177407604596,0.04619948365268467,0.08780319967022521,0.08546423351553345,0.023226056684361403,0.0013220828935704867,0.016524946044884636,0.06887895931732427,-0.001238629714394823,0.014003215137307401,0.06649146946941986,0.8706,0.8784,0.0197,-0.672697089378646,-0.5645371652584217,0.10815992412022435,-0.13089035280063138,0.011842900407410213,0.12602803196449625,0.0852
rs,20260823,10000,47,13,8,15,0.05695439079390052,0.055746906018988684,0.08632957143341002,0.08398682674477775,0.022463893636098027,0.0012199622514742548,0.016023351006635878,0.06642492878137825,-0.0013410122042911254,0.013500333957934874,0.06403114654748424,0.9246,0.9284,0.0169,-0.08930124326246837,-0.07185613914511955,0.017445104117348814,-0.01827414753828537,0.0015807681345360843,0.018546212052693287,0.0594
atr_top5,20260823,10000,47,13,8,15,0.04696529135510197,0.04574501644006379,0.09610583010230067,0.09378815274358865,0.023826217896054994,0.001234692528575515,0.016898155270872073,0.07027043457027506,-0.0013262441572485795,0.014377381310028192,0.06788651260763481,0.862,0.8692,0.0144,-0.5796787010317507,-0.49607548891422365,0.08360321211752703,-0.10770277952184133,0.005319277580482756,0.10273879754900413,0.0988
beta,20260823,10000,47,13,8,15,0.062262460734155534,0.061061772463648634,0.09669058688939114,0.09437440890705628,0.020814076470422046,0.0011068804031326375,0.015126375165781525,0.059362514941466146,-0.0014543840060902479,0.012601058179027125,0.056950623954136574,0.9563,0.9589,0.0057,-0.6786647946092474,-0.5330302970439199,0.14563449756532754,-0.15066738164996327,0.012488275321144219,0.15718841390797086,0.0603
