outcome,spec_order,spec,spec_label,sample,term,term_label,coef,se,pvalue_cluster_t,nobs,clusters,formula
atr_top1,0,a_baseline,(a) Baseline,full,cu_x_corp_only,CU x CorpOnly,0.19868114305808454,0.3174059069975184,0.5344395873017395,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
atr_top1,0,a_baseline,(a) Baseline,full,cu_x_corp_union,CU x CorpUnion,-0.6726970893786492,0.2857553134010692,0.022893726463027723,846,47,atr_top1 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
rs,0,a_baseline,(a) Baseline,full,cu_x_corp_only,CU x CorpOnly,0.022979930354709903,0.046236414096309,0.6215496566985668,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
rs,0,a_baseline,(a) Baseline,full,cu_x_corp_union,CU x CorpUnion,-0.08930124326246876,0.034824462393699775,0.013667896411208351,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
atr_top5,0,a_baseline,(a) Baseline,full,cu_x_corp_only,CU x CorpOnly,0.1785900920352202,0.2354255603030731,0.4519708090987012,846,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
atr_top5,0,a_baseline,(a) Baseline,full,cu_x_corp_union,CU x CorpUnion,-0.5796787010317539,0.25111325349458885,0.02552149438454324,846,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
beta,0,a_baseline,(a) Baseline,full,cu_x_corp_only,CU x CorpOnly,0.3574577792466991,0.39638600277516306,0.3718650052225194,846,47,beta ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
beta,0,a_baseline,(a) Baseline,full,cu_x_corp_union,CU x CorpUnion,-0.678664794609251,0.21906312842751272,0.00331694381980137,846,47,beta ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year)
