outcome,b2,se2,p_cluster_t,p_wildboot,b2_drop_NC_ND_OH,se2_drop,p_drop
atr_top1,-0.673,0.286,0.0229,0.0295,-0.293,0.236,0.2214
rs,-0.089,0.035,0.0137,0.0158,-0.039,0.025,0.1233
