b1,se1,p1,b2,se2,p2,diff,sed,pdiff,n,r2,outcome,sample,cu_from
0.14071143641632244,0.11932419046412084,0.24436740899442153,-0.3519822972665608,0.1708531315492074,0.045067539003163765,-0.4926937336828832,0.17228333470052173,0.006353475076937842,846,0.9788134651049263,atr,main_846,2010
0.1785900920352202,0.2354255603030731,0.4519708090987012,-0.5796787010317539,0.25111325349458885,0.02552149438454324,-0.758268793066974,0.30475729746272284,0.016526682242457902,846,0.9750092898881146,atr_top5,main_846,2010
0.19868114305808454,0.3174059069975184,0.5344395873017395,-0.6726970893786492,0.2857553134010692,0.022893726463027723,-0.8713782324367338,0.38019520106818444,0.026536048510160226,846,0.9679993442492668,atr_top1,main_846,2010
0.18142448451686582,0.24111557349835633,0.4556211133541798,-0.5828640550579993,0.25419426891752117,0.026469645786802762,-0.7642885395748651,0.31085871831385686,0.01777039583805351,846,0.9734470234034536,atr_top5nw,main_846,2010
0.16229391774771634,0.30244263702625884,0.5941225503951785,-0.6619215036134685,0.2791652526403416,0.021980708576296467,-0.8242154213611848,0.364254492260644,0.028417033412175163,846,0.9683070455152808,atr_top1nw,main_846,2010
0.022979930354709903,0.046236414096309,0.6215496566985668,-0.08930124326246876,0.034824462393699775,0.013667896411208351,-0.11228117361717865,0.05200727877193487,0.03610480153769369,846,0.9706860243728755,rs,main_846,2010
0.11009769954011624,0.11719086860619178,0.35250345623961665,-0.38259603414275645,0.16941322395316283,0.02881881941096126,-0.49269373368287267,0.17236748615659075,0.006428879928366049,828,0.9797005172449317,atr,noDC_828,2010
0.16490960197184734,0.23729610893519498,0.49065787695705815,-0.5933591910951128,0.252882528262283,0.023420166284802462,-0.7582687930669602,0.3049061555654164,0.016662075383757857,828,0.9743693432606078,atr_top5,noDC_828,2010
0.19005541323671438,0.3198518098774277,0.5553551535391098,-0.6813228192000049,0.28843736879984017,0.02255683482991141,-0.8713782324367193,0.3803809066665587,0.0267117992943946,828,0.967088484394888,atr_top1,noDC_828,2010
0.16728092411838616,0.24296026822513492,0.4946652044987015,-0.5970076154564655,0.25595708309748477,0.024209147368201428,-0.7642885395748517,0.31101055664356775,0.01791151246866507,828,0.9727665946124935,atr_top5nw,noDC_828,2010
0.15331786949895465,0.3049063310322229,0.6175318289525398,-0.6708975518622163,0.2818090338184552,0.021575051194968362,-0.824215421361171,0.3644324116511459,0.028599185232714985,828,0.9673863963892139,atr_top1nw,noDC_828,2010
0.028695942409372864,0.046136976833560404,0.5370985164782915,-0.08358523120780417,0.03467930092928334,0.020091291058195467,-0.11228117361717704,0.05203268162498784,0.036310317261492475,828,0.9709858367884086,rs,noDC_828,2010
0.16811432558438041,0.13394733162348432,0.2171144386079294,-0.521711981331343,0.20851468703586035,0.0167706643382021,-0.6898263069157234,0.20907865016750507,0.0021117719519763156,702,0.9257769177344302,atr,B1_702,2010
0.22160183495476282,0.2646430195486317,0.407625204426207,-0.8313898786852106,0.3119408872354907,0.011232205733305994,-1.0529917136399733,0.366502037229734,0.0066179694692996005,702,0.9259316458600265,atr_top5,B1_702,2010
0.24832347483610817,0.35740428842120797,0.4914091800252153,-0.9486862434209147,0.35756442411221084,0.011574145134577296,-1.1970097182570227,0.45480411868880444,0.012202382675663426,702,0.9124687145520108,atr_top1,B1_702,2010
0.23162484977257253,0.26968505542211885,0.395796929253727,-0.8367775910759796,0.3160483176863336,0.011735574556103237,-1.0684024408485522,0.3727407109761179,0.006734586917626961,702,0.9226420982512819,atr_top5nw,B1_702,2010
0.22158212583032794,0.3378588301502048,0.5158771133387305,-0.9359329022699916,0.3473764027837581,0.010443723974800893,-1.1575150281003195,0.433032409824433,0.011014654865527884,702,0.9145514346565423,atr_top1nw,B1_702,2010
0.02880499081267802,0.05198320549237457,0.5827424874757638,-0.12145588356007181,0.044118504212762574,0.009006524427738794,-0.15026087437274982,0.06183912279133977,0.019938270698006244,702,0.9474916024983469,rs,B1_702,2010
0.14939248314291254,0.12414952353004095,0.2350062908315579,-0.3526175557767903,0.17279499137900844,0.047046833037624115,-0.5020100389197029,0.17464838545948994,0.006109995280417779,846,0.9790007827198798,atr,main_cu2011,2011
0.20717327537526944,0.24888609041711612,0.40948292978644696,-0.5713689071986685,0.25387132989773004,0.0292327830656257,-0.7785421825739379,0.3159236904696188,0.017523439576741406,846,0.9752301324414928,atr_top5,main_cu2011,2011
0.2387629680119788,0.33333766395871484,0.47743954451634324,-0.6491491972118864,0.28575579632516285,0.02782806339271875,-0.8879121652238652,0.3929870376047712,0.028640625742374137,846,0.9681604513516884,atr_top1,main_cu2011,2011
0.21099223643352263,0.254658711433597,0.411649122088011,-0.5723012080570105,0.2568274457363082,0.030786156160678934,-0.7832934444905331,0.32202859294520636,0.01894950230146919,846,0.9736601041263144,atr_top5nw,main_cu2011,2011
0.19627631241252663,0.31572307353236373,0.5372263527183827,-0.6412873560912646,0.28089876219961685,0.027100194784463016,-0.8375636685037913,0.3758314402335338,0.03077096895188891,846,0.9684544044323825,atr_top1nw,main_cu2011,2011
0.030506593621252652,0.04981318218053309,0.5432755843924576,-0.08889684692747699,0.03494350714112218,0.014381970817517261,-0.11940344054872964,0.05523139741310893,0.03586525122775064,846,0.971044587704822,rs,main_cu2011,2011
