outcome,year,group,b,se
atr_top1,2004,corp_union,0.46490723911338705,0.2562661386063987
atr_top1,2004,corp_only,0.13017560641789583,0.204293065226994
atr_top1,2005,corp_union,0.4755217464792554,0.23410463807658646
atr_top1,2005,corp_only,0.0812857834244679,0.14796593148210388
atr_top1,2006,corp_union,0.45310796517133234,0.21091236421683054
atr_top1,2006,corp_only,0.1541981004922277,0.15586766363169421
atr_top1,2007,corp_union,0.37404564667101814,0.17838261197856828
atr_top1,2007,corp_only,0.17277710110454603,0.1474415413718058
atr_top1,2008,corp_union,0.22278115121166275,0.14135794744140434
atr_top1,2008,corp_only,0.12443148100722712,0.1328392707614138
atr_top1,2009,corp_union,0.0,0.0
atr_top1,2009,corp_only,0.0,0.0
atr_top1,2010,corp_union,-0.030609782030628363,0.06702379822455871
atr_top1,2010,corp_only,0.016281760960839886,0.05841552223927752
atr_top1,2011,corp_union,-0.20277398236371727,0.1338632266168107
atr_top1,2011,corp_only,0.10682750586460932,0.18457466287493335
atr_top1,2012,corp_union,-0.2443827953708152,0.1568956822949054
atr_top1,2012,corp_only,0.09756996548062213,0.2010721353748322
atr_top1,2013,corp_union,-0.2030601794544945,0.2171709386814032
atr_top1,2013,corp_only,0.45050800992615614,0.3717340832157156
atr_top1,2014,corp_union,-0.32805638070395726,0.2633917662798551
atr_top1,2014,corp_only,0.4506791630411293,0.3716605008759864
atr_top1,2015,corp_union,-0.40975201868038635,0.29680129887935897
atr_top1,2015,corp_only,0.521424602812921,0.3786198421616249
atr_top1,2016,corp_union,-0.3015185326366401,0.297852633677031
atr_top1,2016,corp_only,0.6219679012113926,0.38353003929029905
atr_top1,2017,corp_union,-0.40923692089659347,0.28535797762601284
atr_top1,2017,corp_only,0.5152514157333197,0.37195657985537117
atr_top1,2018,corp_union,-0.49075539504283894,0.28835979616315033
atr_top1,2018,corp_only,0.2404324924314878,0.34645263684529076
atr_top1,2019,corp_union,-0.4475658398559865,0.3136087995530075
atr_top1,2019,corp_only,0.2679917437681576,0.3624619284302177
atr_top1,2020,corp_union,-0.5025062941419485,0.30239798771915166
atr_top1,2020,corp_only,0.19773073610960168,0.355562295753172
atr_top1,2021,corp_union,-0.5214194540724773,0.3328981459010664
atr_top1,2021,corp_only,0.2232445642493977,0.3707530226768661
rs,2004,corp_union,0.05298286614986371,0.033291012790161965
rs,2004,corp_only,0.031436820948989,0.025614129844164744
rs,2005,corp_union,0.05778566935516163,0.03129457398404884
rs,2005,corp_only,0.027987259076313165,0.020228692504533193
rs,2006,corp_union,0.051509182282249516,0.028510980151367903
rs,2006,corp_only,0.02951175382197696,0.01981374607672532
rs,2007,corp_union,0.03442136403885441,0.024398301074373713
rs,2007,corp_only,0.025353154335872985,0.015920890566528793
rs,2008,corp_union,0.02195339663587645,0.01819628983954084
rs,2008,corp_only,0.018151100522958985,0.013819546755963539
rs,2009,corp_union,0.0,0.0
rs,2009,corp_only,0.0,0.0
rs,2010,corp_union,-1.6099180312950656e-05,0.009700619548046324
rs,2010,corp_only,-0.0011874051623658732,0.008440399593247539
rs,2011,corp_union,-0.022675986893992545,0.016388595673893926
rs,2011,corp_only,0.0359763617162025,0.04296575807059022
rs,2012,corp_union,-0.0361719920467706,0.02050504618168545
rs,2012,corp_only,0.03187802185840716,0.044767331766725815
rs,2013,corp_union,-0.030089317928091094,0.02725037132015323
rs,2013,corp_only,0.0757898142054763,0.04839612926693762
rs,2014,corp_union,-0.04623236773572825,0.03584900374995413
rs,2014,corp_only,0.08122084723263118,0.05088560969109417
rs,2015,corp_union,-0.06631313577563579,0.03910554497496654
rs,2015,corp_only,0.07832188735890888,0.05359125424169114
rs,2016,corp_union,-0.057417654589911105,0.037435684846939536
rs,2016,corp_only,0.0894561111654062,0.0523124333140936
rs,2017,corp_union,-0.06242138338258477,0.035661012907100914
rs,2017,corp_only,0.06856417550426587,0.046645016842461605
rs,2018,corp_union,-0.08278674754914919,0.0368817539658561
rs,2018,corp_only,0.01474140224910786,0.05278928186786822
rs,2019,corp_union,-0.07204040618724264,0.03814121335485474
rs,2019,corp_only,0.02736103842199561,0.05632062337230273
rs,2020,corp_union,-0.07561932515893482,0.03728943286756817
rs,2020,corp_only,0.01842035389182936,0.058594812652668686
rs,2021,corp_union,-0.08252554579726086,0.04180169745902042
rs,2021,corp_only,0.020096733226863187,0.06568309492898179
atr_top5,2004,corp_union,0.306786768603705,0.20391482850844658
atr_top5,2004,corp_only,0.04594199969043089,0.1522825042871815
atr_top5,2005,corp_union,0.31661231401654183,0.1778083926148039
atr_top5,2005,corp_only,0.014407170036760758,0.10119200191185021
atr_top5,2006,corp_union,0.3134816871590771,0.1608509120689854
