,b1,b2,diff,ri_p_b2,ri_p_diff
atr_top1,0.19868114305808016,-0.6726970893786443,-0.8713782324367244,0.0134,0.0116
rs,0.022979930354709396,-0.0893012432624682,-0.1122811736171776,0.0128,0.0184
